A1BG
A1CF
A2M
A2ML1
A2MP1
AAAS
AACS
AACSP1
AADACL2
AADACL2-AS1
AADACL3
AADACP1
AADAT
AAGAB
AAK1
AAMDC
AAMP
AANAT
AAR2
AARS1
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATF
AATK
ABAT
ABCA1
ABCA10
ABCA11P
ABCA12.var1
ABCA13
ABCA17P
ABCA2
ABCA3
ABCA4
ABCA5
ABCA7
ABCA8
ABCA9
ABCA9-AS1
ABCB1
ABCB10
ABCB11
ABCB5
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC11
ABCC12
ABCC13
ABCC3
ABCC4
ABCC5
ABCC6
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG1
ABCG2
ABCG4
ABCG8
ABHD1
ABHD10
ABHD11
ABHD11-AS1
ABHD12
ABHD13
ABHD14A
ABHD14B
ABHD15
ABHD15-AS1
ABHD17A
ABHD17AP1
ABHD17B
ABHD17C
ABHD18
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABI1
ABI2
ABI3BP
ABITRAM
ABL1.var1
ABL1.var2
ABL2
ABLIM2
ABO
ABR
ABRACL
ABRAXAS1
ABRAXAS2
ABT1
ABTB1
ABTB2
ACAA1
ACAA2
ACACA
ACACB
ACAD10
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAP1
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD3-AS1
ACBD4
ACBD5
ACBD6
ACBD7
ACD
ACER1
ACER2
ACER3
ACHE
ACIN1
ACKR1
ACKR3
ACLY
ACMSD
ACO1
ACO2
ACOD1
ACOT11
ACOT13
ACOT2
ACOT7
ACOT8
ACOT9
ACOX1
ACOX3
ACOXL
ACP1
ACP2
ACP3
ACP6
ACP7
ACRBP
ACRV1
ACSBG1
ACSF2
ACSF3
ACSL1
ACSL3
ACSL4
ACSL5
ACSL6
ACSM2A
ACSM3
ACSM4
ACSM6
ACSS1
ACSS2
ACSS3.var1
ACSS3.var2
ACTA1
ACTA2
ACTB
ACTBP15
ACTBP2
ACTG1
ACTG1P22
ACTG1P24
ACTG2
ACTL6A
ACTL6B
ACTL8
ACTN1
ACTN2
ACTN3
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3-AS1
ACTR3B
ACTR3C
ACTR3P2
ACTR3P3
ACTR5
ACTR6
ACTR8
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACYP1
ACYP2
ADA
ADA2
ADAL
ADAM10
ADAM11
ADAM12
ADAM15
ADAM17
ADAM18
ADAM19
ADAM1B
ADAM2
ADAM20
ADAM22.var1
ADAM23
ADAM28
ADAM29
ADAM32
ADAM3A
ADAM3B
ADAM5
ADAM8
ADAM9
ADAMTS1
ADAMTS10
ADAMTS12.var1
ADAMTS13
ADAMTS14
ADAMTS15
ADAMTS16
ADAMTS16-DT
ADAMTS17.var1
ADAMTS17.var2
ADAMTS18
ADAMTS19.var1
ADAMTS2
ADAMTS20
ADAMTS3.var1
ADAMTS3.var2
ADAMTS4
ADAMTS5
ADAMTS6.var1
ADAMTS7
ADAMTS7P4
ADAMTS9
ADAMTS9-AS1
ADAMTS9-AS2
ADAMTSL1
ADAMTSL3
ADAMTSL4
ADAMTSL5
ADAP2
ADAR
ADARB1
ADARB2
ADAT1
ADAT2
ADAT3
ADCK1
ADCK2
ADCY1
ADCY10
ADCY10P1
ADCY2
ADCY3
ADCY4
ADCY5
ADCY6
ADCY7
ADCY8.var1
ADCY9
ADCYAP1
ADCYAP1R1
ADD1
ADD2
ADD3
ADD3-AS1
ADGB
ADGRA1
ADGRA1-AS1
ADGRA2
ADGRA3
ADGRB1
ADGRB2
ADGRB3
ADGRD1
ADGRE1
ADGRE2
ADGRE3
ADGRE4P
ADGRE5
ADGRF1
ADGRF5
ADGRG1
ADGRG2
ADGRG4
ADGRG5
ADGRG6
ADGRG7
ADGRL1
ADGRL1-AS1
ADGRL2.var1
ADGRL2.var2
ADGRL3-AS1
ADGRL3.var1
ADGRL4.var1
ADGRV1.var1
ADH5
ADH5P4
ADH6
ADH7
ADHFE1
ADI1
ADIPOR1
ADIPOR2
ADIRF-AS1
ADK.var1
ADM
ADM2
ADNP
